Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Spárgakrémleves levesgyönggyel;Grízgaluskaleves;Nyírségi sertésraguleves burgonyagombóccal;Kapros-tejfölös tökleves;Gulyásleves;;
A menü:;Lyoni sertésszelet hasábburgonyával;Csikós tokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Juhtúrós sztrapacska tepertővel;;
B menü:;Csirkemell roppanós bundában lila coleslaw salátával;Tócsni bundában sült csirkemell joghurtos friss kevert salátával;Hazai csirkemell kukoricás rizzsel;Csirkepaprikás galuskával;Cézár saláta sült lepénnyel, parmezán sajttal;;
C menü:;;Burgonya főzelék stefánia vagdalttal;Szilvás derelye fahéjas porcukorral;Rántott tengeri halfilé vajban párolt zöldséges bulgurral;;;
