Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Francia hagymaleves zsemlekockával;Marha erőleves csigatésztával;Magyaros burgonyaleves kolbászkarikával;Erdei gyümölcsleves;Nyírségi gombócleves;;
A menü:;Rakott káposzta;Bakonyi sertéstokány galuskával;Fix – Szántódi ropogós sült burgonyával;Mokka pecsenye sült burgonyával;Juhtúrós sztrapacska mangalica tepertővel;;
B menü:;Füstölt sajttal töltött csirkemell tört burgonyával;Szezámmagos csirkemell zöldséges bulgurral;Csirkemell csíkok stroganoff módra párolt rizzsel;Rántott csirkemáj rizibizivel;Vaslapon sült jércemell szalmaburgonyával, sajtmártással;;
C menü:;;Grillezett feta sajt friss kevert salátával, sült burgonyával;Aranygaluska vanília öntettel;Orosz hússaláta;;;
