Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Francia hagymaleves kenyérkockával;Eperkrémleves;Frankfurti leves;Májgombócleves;Szürkemarha gulyás;;
A menü:;Rakott paradicsomos makaróni;Székelykáposzta;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Grízes tészta baracklekvárral;;
B menü:;Parmezánbundában sült csirkemell párolt jázminrizzsel;Csirkemell erdegyümölcs mártással, burgonyakrokettel;Toscan zöldséges penne fűszeres csirkemellcsíkokkal;Görögös csirkecombfilé tzatziki salátával, pitával;Füstölt sajtos bundás csirkemell rizibizivel;;
C menü:;;Tengeri hal orly módra remoulade-mártással, párolt jázminrizzsel;Csokoládés gombóc vaníliás panko morzsában;Zöldbabfőzelék fasírttal;;;
