Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Ünnepnap;Zöldborsóleves csurgatott tésztával;Betyárleves;Joghurtos sárgabarack krémleves;Tárkonyos csirkeraguleves;;
A menü:;;Sertésszelet sült kápia paprika mártással,burgonyakrokettel;Fix – Szántódi ropogós sült burgonyával;Holstein szelet hasábburgonyával;Lasagne;;
B menü:;;Rántott csirkemell bulgurral, tzatziki salátával;Szezámmagos csirkemell almás-kukoricasalátával;Zúzapörkölt galuskával;Hekk törzs hasábburgonyával;;
C menü:;;;Túrógombóc fahéjas tejföllel;Rántott cukkini, karfiol, sajt párolt jázminrizzsel;;;
