Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Spárgakrémleves levesgyönggyel;Grízgaluska leves;Nyírségi sertésraguleves burgonyagombóccal;Kapros-tejfölös tökleves;Gulyásleves;;
A menü:;Lyoni sertésszelet rácsos burgonyával;Csikós tokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Resztelt sertésmáj sós burgonyával;;
B menü:;Csirkemell roppanós bundában lila coleslaw salátával;Tócsni bundában sült csirkemell joghurtos friss kevert salátával;Snidlinges-cheddar sajtos csirkemellcsíkok spagetti tésztával;Csirkepaprikás galuskával;Cézár saláta sült lepénnyel;;
C menü:;;Burgonyafőzelék stefánia vagdalttal;Szilvás derelye fahéjas porcukorral;Rántott tengeri halfilé vajban párolt zöldséges bulgurral;;;
