;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zöldborsó krémleves;Fahéjas szilvaleves;Magyaros burgonyaleves békési kolbásszal;Marha erőleves csigatésztával;Húsvéti Ajánlat;;
A-menü;Székelykáposzta;Hentestokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;;;
B-menü;Vaslapon sült jércemell sajtmártással, burgonyakrokettel;Rántott csirkemáj snidlinges burgonyapürével;Zöldséges csirkemell rizottó;Körözöttel töltött csirkemell rizibizivel;
C-menü;;Grillezett fetasajt friss kevert salátával;Darázsfészek vaníliaöntettel;Orosz hússaláta füstölt sonkával, főtt tojással
