Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves csigatésztával;Fokhagymakrémleves kenyérkockával;Kassai burgonyaleves kolbásszal;Tavaszi vitaminleves csurgatott tésztával;Metélőhagymás csirkeraguleves;;
A menü:;Sokmagvas sertésborda hasábburgonyával;Hortobágyi aprópecsenye tarhonyával;Fix – Szántódi ropogós sült burgonyával;Sertésszelet párolt savanyú káposztával, tört burgonyával;Paprikáskrumpli lángolt kolbásszal;;
B menü:;Roston csirkemell tejszínes gombamártással, párolt jázminrizzsel;Dubarry csirkemell párolt jázminrizzsel;Baconbe göngyölt csirkemáj édesburgonya pürével, kukoricasalátával;Rántott csirkecomb rizibizivel;Firenzei csirkemell párolt jázminrizzsel;;
C menü:;;Sörtésztában sült tengeri hal joghurtos friss salátával, pitával;Aranygaluska vaníliasodóval;Kelkáposzta főzelék sertéspörkölttel;;;
