Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Erdélyi húsgombócleves;Sütőtökkrémleves;Bajai harcsa halászlé;Langyos vilmoskörte leves;Tárkonyos szárnyas raguleves;;
A menü:;Párizsi sertésszelet petrezselymes burgonyával;Sertéspörkölt csülökkel, sós burgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokka pecsenye sült burgonyával;Lasagne;;
B menü:;Kacsamáj rizottó parmezán sajttal;Rakott brokkolis csirkés tészta füstölt sajttal;Zöldfűszeres csirkemell görögös bulgurral;Csirkemell magvas bundában burgonyapürével;Csirkecombfilé bécsi bundában rizibizivel;;
C menü:;;Rántott sajt párolt rizzsel, tartármártással;Túrós derelye fahéjas tejföllel;Borsófőzelék sertésvagdalttal;;;
