Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tyúkhúsleves;Eperkrémleves;Frankfurti leves;Májgombócleves;Szóljanka leves füstölt csülökkel;;
A menü:;Rakott makaróni;Temesvári sertéstokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Carbonara spagetti;;
B menü:;Parmezán bundában sült csirkemell párolt jázminrizzsel;Görögös csirkecombfilé friss salátával, tzatzikivel, pitával;Toscan zöldséges penne fűszeres csirkemell;Füstölt sajttal töltött csirkemell kukoricás rizzsel;Csirkemell erdegyümölcs mártással, burgonyakrokettel;;
C menü:;;Hekktörzs paprikás lisztben sütve hasábburgonyával;Mákos nudli amarettos meggy öntettel;Zöldbabfőzelék fasírttal;;;
