Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Marha erőleves csigatésztával;Fokhagymakrémleves zsemlekockával;Palócleves kolbásszal;Kertészleves eperlevéllel;Tárkonyos szárnyas raguleves;;
A menü:;Mátrai borzas sertésbordából párolt jázminrizzsel;Pusztapörkölt;Fix – Szántódi ropogós sült burgonyával;Erdélyi rakott káposzta;Paprikás krumpli csabai kolbásszal;;
B menü:;Óvári csirkemell sajttal halmozva burgonyapürével;Újhagymás kacsamell rizottó;Cheddar sajtos csirkemell csíkok spagetti tésztával;Camembert sajttal-aszalt szilvával töltött csirkemell párolt rizzsel;Grillezett csirkemell bulgurral, joghurtos salátával;;
C menü:;;Harcsafilé paprikás lisztben sütve kukoricasalátával;Túrós palacsinta málnaöntettel;Trikolor tésztasaláta sonkával;;;
