Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves;Zöldborsó leves;Csángó gulyás;Zöldségleves zabkockával;Palócleves;;
A menü:;Dijoni mustáros sertés apró kockaburgonyával;Csikós tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Túrós tészta mangalica tepertővel;;
B menü:;Csirkemell vaslapon sütve cheddar sajtmártással hercegnő burgonyával;Hawaii csirkemell kukoricás rizzsel;Szecsuáni csirke csíkok pirított spagetti tésztával;Brokkolival-füstölt sajttal töltött csirkemell burgonyapürével;Gyros tál;;
C menü:;;Tejfölös lencsefőzelék stefánia vagdalttal;Áfonyás palacsinta vanília öntettel;Harcsapaprikás galuskával;;;
