Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Szatmári szilvaleves;Sült kolbász mustárral;Daragaluska leves;Frankfurti leves;;
A menü:;Rakott brokkoli füstölt sajttal;Bácskai rizseshús;;Velővel töltött sertéskaraj, hasábburgonyával;Rizsfelfújt erdei gyümölcsmártással;;
B menü:;Zöldfűszeres bundában sült csirkemell rizibizivel;Baconbe göngyölt csirkemell sajtmártással, hercegnő burgonyával;;Tejszínes-chilis-sáfrányos csirkeragu, penne tésztával;Csirkemell panko morzsában, burgonyapürével;;
C menü:;;Zöldbab főzelék vasi pecsenyével;;Grillezett camembert sajt, mazsolás rizzsel, áfonyával;;;
