Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tyúkhúsleves cérnametélttel;Brokkolikrémleves;Frankfurti leves;Zsenge zöldborsóleves;Szürkemarha gulyás;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Majoránnás-mustáros sertésragu szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Grízes tészta baracklekvárral;;
B menü:;Grillezett csirkemell joghurtos friss salátával, bulgurral;Csirkemell magvas bundában zöldséges kuszkusszal;Gödöllői töltött csirkecomb rizibizivel;Bakonyi csirkeragu galuskával;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;;
C menü:;;Tökfőzelék stefánia vagdalttal;Mákos guba vanília öntettel;Rántott tengeri halfilé kukoricás rizzsel;;;
