;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Májgaluska leves;Szilvaleves;Magyaros burgonyaleves békési kolbásszal;Zöldborsókrémleves;Marhahúsleves csigatésztával;;
A-menü;Rakott karfiol;Hentestokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Tarhonyás hús;;
B-menü;Vaslapon sült jércemell satmártással, hercegnő burgonyával;Rántott csirkemáj snidlinges burgonyapürével;Tejszínes-parajos penne csirkecsíkokkal;Paradicsomos-csirkés rakott makaróni;Joghurtban pácolt csirkecombfilé fűszeres gerezdburgonyával, friss salátával, kapros öntettel
C-menü;;Grillezett fetasajt friss kevert salátával;Vargabéles vaníliasodóval;Tengeri hal szezámmagos bundában párolt rizzsel
