;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Zöldségleves eperlevéllel;Frankfurti leves;Francia hagymaleves;Tejfölös lencsegulyás;;
A-menü;Sertésszelet jóasszony módra pirított burgonyával;Tejfölös-baconös makaróni újhagymával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Bácskai rizseshús;;
B-menü;Zöldfűszeres bundában sült csirkemell mexikói rizzsel;Argentín csirkecombfilé joghurtos bulgursalátával;Dijoni mustáros csirkekragu párolt rizzsel;Rántott csirkecomb rizibizivel;Csirkemell pankomorzsa palástban sütőtökös burgonyapürével
C-menü;;Rántott sajt párolt jázminrizzsel;Grízes tészta sárgabarcklekvárral;Tengeri halfilé párizsiasan spenótfőzelékkel
