Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zsenge zöldborsóleves;Szamócakrémleves;Gyöngybableves füstölt csülökkel;Tyúkhúsleves;HÚSVÉTI AJÁNLAT;;
A menü:;Chilis bab sült pitával;Majorannás-mustáros sertésragu orsó tésztával;Fix – Szántódi ropogós sült burgonyával;Cigánypecsenye sült burgonyával;;;
B menü:;Grillezett csirkemell joghurtos friss salátával, korong burgonyával;Csirkemell szezámmagos bundában, aszalt paradicsomos kuszkusszal;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;Rántott tengeri halfilé kukoricás rizzsel, tartármártással;;;
C menü:;;Zöldborsófőzelék fokhagymás sertésvagdalttal;Mákos guba vanília öntettel;;;;
