Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Tejszínes karfiolleves;Harcsa halászlé;Csontleves zabkockával;Bográcsgulyás;;
A menü:;Rakott burgonya;Sertéspörkölt csülökkel, sós burgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sertéssült párolt káposztával, tört burgonyával;;
B menü:;Grillezett csirkemell jázminrizzsel, friss saláta tzatziki öntettel;Fűszeres tejfölben sült csirkecomb rizibizivel;Kentucky fűszeres csirkemell tökmagos bulgursalátával;Kacsamájjal töltött csirkemell párolt jázminrizzsel;Négysajtos-csirkés makaróni;;
C menü:;;Fokhagymás-spenótos penne roston sült tengeri hallal;Túrógombóc fahéjas tejföllel;Sárgaborsó főzelék sült kolbásszal;;;
