Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lebbencsleves;Sütőtökkrémleves;Rozmaringos betyárleves;Zsenge zöldborsóleves csurgatott tésztával;Tejszínes-brokkolis csirkeapró leves;;
A menü:;Sertésborda csabai kolbásszal, sajttal töltve petrezselymes burgonyával;Tarhonyás hús;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Krumplis tészta bacon kockával;;
B menü:;Édes-savanyú csirkeragu párolt jázminrizzsel;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;Snidlinges-cheddar sajtos csirkemell spagettivel;Rántott csirkecomb rizibizivel;Csirkemell zöldfűszeres morzsában sütve kukoricás rizzsel;;
C menü:;;Kelkáposztafőzelék pikáns vagdalttal;Mákos guba vanília öntettel;Grillezett feta sajt tökmagos salátaágyon;;;
