Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Ünnepnap;Ünnepnap;Kassai burgonyaleves kolbásszal;Grízgaluska leves;Tárkonyos szárnyasraguleves;;
A menü:;;;Sajttal-sonkával töltött sertésborda, sült burgonyával;Csirkemell baconbe göngyölve sajtmártással, burgonyachipssel;Rántott sertésborda, vegyes körettel;;
