Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves;Fahéjas almaleves;Tárkonyos sertésraguleves;Zsenge zöldborsóleves;Lencsegulyás füstölt csülökkel;;
A menü:;Párizsi sertésszelet édesburgonya hasábbal;Hentestokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Cigánypecsenye petrezselymes burgonyával;Sárgabarackos palacsinta;;
B menü:;Sajtkrémmel töltött csirkemell rizibizivel;Grillezett csirkemell joghurtos friss salátával, korongburgonyával;Mediterrán csirkemell zöldséges bulgurral;Mexikói rakott csirkés lasagne;Carbonara spagetti;;
C menü:;;Borsófőzelék fasírttal;Máglyarakás;Rántott tengeri halfilé kukoricás rizzsel, tartármártással;;;
