Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Sajtkrémleves;Májgombócleves;Burgonyaleves békési kolbásszal;Zöldségleves zabkockával;Csorbaleves húsgombóccal;;
A menü:;Rakott karfiol;Erzsébet szelet párolt jázminrizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Paprikás krumpli debreceni kolbásszal;;
B menü:;Panko morzsában sült csirkemell petrezselymes burgonyával;Csirkemell jóasszony módra pirított kockaburgonyával;Tejszínes-gombás csirkemell párolt jázminrizzsel;Csirkemell sajttal-aszalt szilvával töltve párolt jázminrizzsel;Csirkemell steak tarkabors mártással, párolt rizzsel;;
C menü:;;Orosz hússaláta főtt tojással;Grízes tészta sárgabaracklekvárral;Sárgaborsó főzelék sült kolbássza;;;
