Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;ÜNNEPI AJÁNLAT;Tyúkhúsleves;Frankfurti leves;Zöldborsóleves;Lencseleves füstölt tarjával;;
A menü:;;Chilisbab sült pitával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Erzsébet szelet párolt jázminrizzsel;;
B menü:;;Csirkemell magvas bundában zöldséges kuszkusszal;Dijoni mustáros-medvehagymás csirkemell trikolor tésztával;Zúzapörkölt galuskával;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;;
C menü:;;;Almás rétes vanília öntettel;Tökfőzelék stefánia vagdalttal;;;
