Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves cérnametélttel;Kapros zöldbableves;Legényfogó leves húsgombóccal;Mézes almaleves;Szóljankaleves füstölt sonkával;;
A menü:;Erdélyi rakott káposzta tejföllel;Bakonyi sertéstokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sertésszelet jóasszony módra kockaburgonyával;;
B menü:;Szezámmagos csirkemell párolt jázminrizzsel;Őszibarackkal-füstölt sajttal rakott csirkemell burgonyakrokettel;Currys-zöldséges csirkemell snidlinges bulgurral;Sajttal-baconnel töltött csirkemell gombás rizzsel;Csirkemell mandulás bundában sajtos rizottóval;;
C menü:;;Rántott sajt párolt jázminrizzsel;Szilvás derelye fahéjas porcukorral;Trikolor sonkás tésztasaláta;;;
