Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves cérnametélttel;Vegyes gyümölcsleves;Lencseleves füstölt tarjával;Karfiolleves csurgatott tésztával;Alföldi marhagulyás;;
A menü:;Kolozsvári rakott káposzta;Tarhonyás hús;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Túrós tészta tepertővel;;
B menü:;Csirkemell bécsi bundában kukoricás rizzsel;Zöldfűszeres grill csirkecomb franciasalátával;Tejszínes-bazsalikomos csirkeragu, penne tésztával;Grillezett csirkemell sült kápia paprika mártással, burgonyakrokettel;Aszalt paradicsommal, sajttal töltött csirkemell gőzölt bulgurral, friss salátával;;
C menü:;;Tökfőzelék sertésvagdalttal;Máglyarakás;Tengeri hal fekete szezámmagos bundában párolt jázminrizzsel;;;
