Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Magyaros gombaleves;Orjaleves csigatésztával;Tárkonyos sertésraguleves;Sajtkrémleves krutonnal;Szóljankaleves füstölt sonkával;;
A menü:;Bolognai spagetti;Csikós tokány csőtésztával;Fix – Szántódi ropogós sült burgonyával;Brassói aprópecsenye;Stíriai metélt vaníliás tejföllel;;
B menü:;Keleti ropogós bundában sült csirkemell párolt jázminrizzsel, currys majonézzel;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;Snidlinges-cheddar sajtos csirkemell spagettivel;Fűszeres feta sajttal töltött csirkemell medvehagymás párolt jázminrizzsel;Csirkemell mandulás bundában vegyes körettel;;
C menü:;;Sárgaborsó főzelék sült kolbásszal;Máglyarakás;Sonkás trikolor tésztasaláta;;;
