Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Szatmári szilvaleves;Frankfurti leves;Zöldborsóleves zabkockával;Tejfölös babgulyás;;
A menü:;Rakott brokkoli füstölt sajttal;Bácskai rizseshús;Fix – Szántódi ropogós sült burgonyával;Sajttal-kolbásszal töltött sertéskaraj hasábburgonyával;Túrós tészta tepertővel;;
B menü:;Csirkemell panko morzsában burgonyapürével;Baconbe göngyölt csirkemell sajtmártással, hercegnő- burgonyával;Tejszínes-chilis-sáfrányos csirkeragu penne tésztával;Szezámmagos csirkemell snidlinges burgonyasalátával;Zöldfűszeres bundában sült csirkemell rizibizivel;;
C menü:;;Tökfőzelék stefánia vagdalttal;Túrógombóc fahéjas tejföllel;Grillezett camembert sajt mazsolás rizzsel, áfonyával;;;
