Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Hagymakrémleves;Grízgombócleves;Bakonyi sertésraguleves;Kapros zöldbableves;Sütőtökkrémleves tökmaggal;;
A menü:;Tarhonyás hús;Székelykáposzta;Fix – Szántódi ropogós sült burgonyával;Vasi pecsenye hagymás tört burgonyával;Mátrai borzaska burgonyapürével;;
B menü:;Grillezett csirkemell friss salátával, joghurtos öntettel;Dubarry csirkemell párolt rizzsel;Görögös csirkecomb tzatziki salátával;Négysajtos-csirkés makaróni;BBQ csirkemelles tortilla hasábburgonyával, salátával;;
C menü:;;Burgonyafőzelék fasírttal;Rizsfelfújt málnaöntettel;Rántott mozzarella sajt párolt jázminrizzsel, tartár- mártással;;;
