Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Ünnep nap;Paradicsomleves;Pacalos csorbaleves;Áfonyaleves mandulával;Gulyásleves;;
A menü:;;Sörös-mustáros sertés szelet tepsis burgonyával;Fix – Szántódi ropogós sült burgonyával;Mokka pecsenye sült burgonyával;Carbonara spagetti;;
B menü:;;Grillezett csirkemell zöldséges bulgurral;Cézár saláta parmezán sajttal;Sajtkrémmel töltött csirkemell rizibizivel;Panko morzsában sült csirkemell vajas tört burgonyával;;
C menü:;;;Máglyarakás;Burgonyafőzelék sertésvagdalttal;;;
