Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lebbencsleves;Tejszínes áfonyaleves;Szárnyas raguleves;Sajtos medvehagyma krémleves;Marhahúsleves csigatésztával;;
A menü:;Rakott káposzta kolozsvári szalonnával;Csárdás tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Sörös-mustáros tarja tepsis burgonyával;Csülkös sertéspörkölt tarhonyával;;
B menü:;Mátrai borzas petrezselymes burgonyával;Szezámmagos csirkemell franciasalátával;Tejszínes-parajos színes penne, csirkecsíkokkal;Csirkepaprikás galuskával;Joghurtban pácolt csirkemell fűszeres gerezdburgonyával, friss salátával, kapros öntettel;;
C menü:;;Tengeri hal paprikás lisztben sütve párolt rizzsel, sült hagymás majonézzel;Máglyarakás;Rántott sajt párolt jázminrizzsel, tartármártással;;;
