Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves csigatésztával;Karfiolleves;Temesvári raguleves;Édesburgonya krémleves;Jókai bableves;;
A menü:;Sokmagvas bundában sült sertéskaraj párolt jázminrizzsel;Sertésszelet Budapest módra pirított kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Túrós tészta tepertővel;;
B menü:;Roston csirkemell meggymártással, burgonyakrokettel;Juhtúróval töltött csirkemell párolt jázminrizzsel;Paradicsomos-mozzarellás csirkemell párolt rizzsel;Pirosra sült grill csirkecomb franciasalátával, párolt rizzsel;Párizsi csirke rizibizivel;;
C menü:;;Káposztás tészta;Szilvás derelye fahéjas porcukorral;Tökfőzelék sertésvagdalttal;;;
