Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Karfiolleves;Gyümölcsleves;Sárgaborsóleves békési kolbásszal;Tyúkhúsleves csigatésztával;Erdélyi húsgombócleves;;
A menü:;Milánói sertésborda;Brassói aprópecsenye;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sajtos hamburger hasábburgonyával, hagymakarikával;;
B menü:;Grillezett csirkemell mexikói rizzsel;Csirkecombfilé bécsi bundában párolt jázminrizzsel;Csirkemell brokkolival-sajttal halmozva, párolt jázminrizzsel;Szezámmagos csirkemell sütőtökös rizottóval;Baconszalonnával-cheddar sajttal töltött csirkemell burgonyapürével;;
C menü:;;Párolt tengeri hal fokhagymás parajos nudlival;Túrógombóc fahéjas tejföllel;Grillezett sajt bazsalikomos bulgursalátával;;;
