Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Sárgaborsó krémleves pirított baconnel;Májgaluska leves;Rozmaringos betyárleves;Vaníliás eperkrémleves;Szárnyas raguleves;;
A menü:;Rakott milánói makaróni;Borsos tokány tarhonyával;Fix – Szántódi ropogós sült burgonyával;Fix –  Mokka pecsenye sült burgonyával;Óvári sertésszelet burgonyapürével;;
B menü:;Parmezános bundában sült csirkemell mézes-mustáros salátával, hasábburgonyával;Mexikói bundában sült csirkemell sajtos rizottóval;Sült csirkecomb céklás burgonyasalátával;Párizsi csirkemell petrezselymes burgonyával;Csirkés-zöldséges sült tészta;;
C menü:;;Krumpli főzelék fasírttal;Kákai káposztás kapusznyika;Rántott karfiol, brokkoli, párolt jázminrizzsel, tartármártással;;;
