Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;HÚSVÉTI AJÁNLAT;Orjaleves;Rozmaringos betyárleves;Sütőtökkrémleves tökmaggal;Tejszínes-brokkolis csirkeapró leves;;
A menü:;;Milánói sertésborda;Fix – Szántódi ropogós sült burgonyával;Lyoni sertésszelet hasábburgonyával;Tarhonyás hús;;
B menü:;;Bazsalikom pestós csirkemell jázminrizzsel, friss salátával;Újhagymás-tejszínes csirkeragu párolt jázminrizzsel;Édes-savanyú csirkemell pirított tésztával;Kijevi csirkemell petrezselymes burgonyával;;
C menü:;;;Grízes tészta sárgabaracklekvárral;Rántott camembert sajt párolt rizzsel, áfonyalekvárral;;;
