Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Szamóca krémleves;Orjaleves cérnametélttel;Korhelyleves;Ünnepnap;Ünnepnap;;
A menü:;Rántott sertésborda párolt jázminrizzsel;Bolognai spagetti;Sajttal-kolbásszal töltött sertésszelet vegyes körettel;;;;
B menü:;Csirkemell jóasszony módra pirított kockaburgonyával;Panko morzsában sült csirkemell rizibizivel;Grízes tészta sárgabarack lekvárral;;;;
