Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zöldborsókrémleves;Orjaleves csigatésztával;Savanyú burgonyaleves gyulai kolbásszal;Fahéjas langyos almaleves;Csülkös bableves;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Sertésragu stroganoff módra orsó tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Juhtúrós sztrapacska mangalica tepertővel;;
B menü:;Firenzei csirkemell vajas burgonyapürével;Dubarry csirkemell párolt jázminrizzsel;Gödöllői sült csirkecomb petrezselymes rizzsel;Füstölt sajttal-szárított paradicsommal töltött csirkemell párolt jázminrizzsel;Baconbe göngyölt csirkemell sajtmártással, jázminrizzsel, friss salátával;;
C menü:;;Sörtésztában sült tengeri hal burgonyachipssel, fokhagymás majonézzel;Aranygaluska vaníliasodóval;Borsófőzelék fasírttal;;;
