;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves;Fokhagymakrémleves;Csülkös bableves;Gyömbéres sütőtökkrémleves;Tárkonyos szárnyasraguleves;;
A-menü;Paradicsomos húsgombóc főtt burgonyával;Tarhonyás hús;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Juhtúrós sztrapacska mangalica tepertővel;;
B-menü;Mátrai borzas csirkemell rizibizivel;Dubarry csirkemell párolt jázminrizzsel;Grill csirkecomb almás kukoricasalátával;Csirkecsíkok Stroganoff módra párolt jázminrizzsel;Zöldfűszeres feta sajttal töltött csirkemell burgonyapürével
C-menü;;Sörtésztában sült tengeri hal burgonyachipsszel;Máglyarakás;Sárgaborsó főzelék sült kolbásszal
