;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves cérnametélttel;Kapros zöldbableves;Rozmaringos-tejszínes sertésraguleves;Mézes almaleves;Csülkös szoljánkaleves;;
A-menü;Bolognai spagetti;Bakonyi sertéstokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Hamburger hagymakarikával, hasábburgonyával;;
B-menü;Keleti ropogós bundában sült csirke párolt jázminrizzsel;Őszibarackkal-füstölt sajttal rakott csirkemell párolt jázminrizzsel;Fűszeres csirkecsíkok zöldséges kuszkusszal;Zúzapörkölt galuskával;Csirkemell mandulás bundában, céklás joghurtos burgonyasalátával
C-menü;;Trikolor sonkás tésztasaláta;Almás rétes vaníliaöntettel;Burgonyafőzelék stefánia vagdalttal
