Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves;Erdei gyümölcsleves;Betyárleves;Grízgaluskaleves;Gulyásleves;;
A menü:;Temesvári sertésszelet párolt jázminrizzsel;Sertéscsíkok stroganoff módra szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Túrós derelye fahéjas tejföllel;;
B menü:;Csirkemell roppanós bundában lila coleslaw salátával;Szezámmagos bundában sült csirkecombfilé szalmaburgonyával, friss salátával;Snidlinges-cheddar sajtos csirkemellcsíkok spagetti tésztával;Bakonyi csirketokány galuskával;Grillezett csirkemell napraforgó salátával, párolt rizs;;
C menü:;;Burgonyafőzelék fűszeres vagdalttal;Mézes-mákos tészta;Kukoricalisztben sült halfilé zöldséges bulgurral;;;
