Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkoli krémleves levesgyönggyel;Grízgaluska leves;Bakonyi sertésraguleves;Csontleves cérnametélttel;Gulyásleves;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Székelykáposzta;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Túrós derelye fahéjas tejföllel;;
B menü:;Csirkemell roppanós bundában lila coleslaw salátával;Hawaii csirkemell kukoricás rizzsel;Snidlinges-cheddar sajtos csirkemellcsíkok spagettivel;Csirkepaprikás galuskával;Rántott csirkemell burgonyapürével;;
C menü:;;Kukoricalisztben sült halfilé vajban párolt zöldséges bulgur;Grízes tészta sárgabaracklekvárral;Zöldbabfőzelék fasírttal;;;
