Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves csigatésztával;Erdei gyümölcsleves;Libaraguleves burgonyagombóccal;Májgaluskaleves;Gulyásleves;;
A menü:;Csülkös burgonya;Temesvári tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Mokka pecsenye sült burgonyával;Túrós derelye fahéjas tejföllel;;
B menü:;Ropogós bundában sült csirkemell coleslaw salátával;Szezámmagos csirkecombfilé szalmaburgonyával friss salátával;Argentin csirkemell steak kukoricasalátával;Bakonyi csirkeragu galuskával;Grillezett csirkemell tökmagos rizottóval;;
C menü:;;Burgonyafőzelék majorannás vagdalttal;Rizsfelfújt málnaöntettel;Kukoricalisztben sült halfilé zöldséges bulgurral;;;
