;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tyúkhúsleves;Burgonyakrémleves kolbásszal;Székelygulyás;Zöldborsóleves;Lencseleves füstölt tarjával;;
A-menü;Brassói aprópecsenye;Óvári sertésszelet párolt jázminrizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;„Langalló” kenyérlángos;;
B-menü;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;Rántott csirkecomb petrezselymes burgonyával;Tejszínes-gombás csirke penne tésztával;Csirkemell magvas bundában zöldséges kuszkusszal;Illatos omlós csirkecsíkok zöldséges spagettivel
C-menü;;Tökfőzelék stefánia vagdalttal;Túróscsusza tepertővel;Rántott sajt párolt rizzsel
