Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Sajtkrémleves levesgyönggyel;Tavaszi zöldségleves;Erdélyi burgonyagombóc leves;Fahéjas szilvaleves;Palócleves;;
A menü:;Rakott brokkoli;Sertésszelet Budapest módra kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Carbonara spagetti;;
B menü:;Parmezánbundában sült csirkemell párolt jázminrizzsel;Zöldfűszeres csirkecombfilé Mexikói kuszkuszsalátával;Toscan zöldséges penne fűszeres csirkecsíkokkal;BBQ csirkecomb burgonyasalátával;Juhtúróval töltött csirkemell burgonyapürével;;
C menü:;;Rántott brokkoli, rántott karfiol párolt jázminrizzsel;Rizsfelfújt erdeigyümölcs mártással;Lencsefőzelék fasírttal;;;
