;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Sajtkrémleves levesgyönggyel;Magyaros gombaleves;Bárányraguleves;Zöldségleves zabkockával;Erdélyi burgonyagombóc leves;;
A-menü;Dijoni mustáros sertésragu főtt tésztával;Chilisbab sült pitával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Carbonara spagetti;;
B-menü;Parmezán bundában sült csirkemell párolt jázminrizzsel;Toscan zöldséges penne fűszeres csirkecsíkokkal;Grillezett csirkecomb burgonyasalátával;Juhtúróval töltött csirkemell burgonyapürével;Zöldfűszeres csirkemell sajtos rizottóval
C-menü;;Rántott cukkíni, karfiol jázminrizzsel;Szilvás derelye fahéjas porcukorral;Lencsefőzelék sült kolbásszal
