Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Libaraguleves birsalmával;Májgaluskaleves;Pacalos csorbaleves burgonyagombóccal;Langyos vilmoskörte leves;Gyöngybableves füstölt csülökkel;;
A menü:;Velővel töltött sertésborda hasábburgonyával;Sertésragu stroganoff módra orsó tésztával;Fix – Szántódi ropogós sült burgonyával;Sertéssült hagymás tört burgonyával, párolt lilakáposztával;Túrós csusza mangalica szalonnával;;
B menü:;Medvehagymás-zöldséges-csirkés spagetti;Roston sült csirkemell párolt rizzsel, tzatziki salátával;BBQ csirkecomb francia salátával;Négysajtos rakott csirkés makaróni;Grillezett csirkemell erdeigyümölcs mártással, burgonyakrokettel;;
C menü:;;Sörtésztában sült tengeri hal szalmaburgonyával, berni mártással;Mákos guba vanília öntettel;Harcsapaprikás galuskával;;;
