Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Újévi ajánlat;Tejfölös lencseleves füstölt csülökkel;Orjaleves cérnametélttel;Karfiol leves csurgatott tésztával;Palócleves;;
A menü:;;Túrós tészta mangalica tepertővel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Lasagne;;
B menü:;;Bécsi bundában sült csirkemell kukoricás rizzsel;Tejszínes-bazsalikomos csirkemell ragu penne tésztával;Grillezett csirkemell kápia paprika mártással burgonyakrokettel;Brokkolival-sajttal töltött csirkemell zöldséges burgurral;;
C menü:;;;Máglyarakás;Tengeri halfilé fekete szezámmagos bundában párolt jázminrizzsel;;;
