Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tojásleves;Meggyleves;Szárnyas raguleves;Póréhagymakrémleves;Csülkös bableves;;
A menü:;Fokhagymás sertéssült, tört bugonya pecsenyelével;Holstein szelet sült burgonyával;Fix – Szántódi ropogós sült burgonyával;Tarhonyás hús;Bolognai spagetti;;
B menü:;Dubarry csirkemell párolt jázminrizzsel;Rántott csirkemáj zöldséges rizzsel;Ropogósra sült csirkecomb vitamin salátával, tzatziki öntettel;Tejszínes-bazsalikomos csirkecsíkok olívás jázminrizzsel;Rántott csirkemell párolt rizzsel;;
C menü:;;Zöldborsófőzelék vagdalttal;Mákos guba vanília öntettel;Tengeri hal paprikás lisztben sütve, korong burgonyával;;;
