Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Marha erőleves csigatésztával;Zöldborsókrémleves;Szoljanka leves füstölt tarjával;Kertészleves eperlevéllel;Tejszínes szárnyasraguleves;;
A menü:;Rakott karfiol;Betyártokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sertéspaprikás galuskával;;
B menü:;Vaslapon sült jérccemell sajtmártással, rácsos burgonyával;Szezámmagos csirkecombfilé kukoricás rizzsel;Tejszínes-parajos penne csirkemell csíkokkal;Csirkemellsteak zöldbors mártással, párolt rizzsel;Panko morzsásban sült csirkemell vegyes körettel;;
C menü:;;Orosz hússaláta főtt tojással;Sárgabarackos töltött fánk vaníliás porcukorral;Sárgaborsó főzelék majoránnás vagdalttal;;;
