Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves cérnametélttel;Zöldborsókrémleves levesgyönggyel;ÜNNEPNAP;Erdei gyümölcsleves;Libaraguleves;;
A menü:;Lasagne;Csabai sertéstokány főtt tésztával;;Chilis bab sült lepénykenyérrel;Juhtúróval töltött sertésborda hasábburgonyával;;
B menü:;Hawaii csirkemell kukoricás jázminrizzsel;Baconbe göngyölt libamáj burgonyapürével;;Panko morzsában sült csirkemell édesburgonya hasábbal;Cheddar sajtos csirkés tortilla friss salátával;;
C menü:;;Paprikás lisztben sült tengeri hal párolt rizzsel, zöldfűszeres majonézzel;;Káposztás tészta;;;
