Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves;Vegyes gyümölcsleves;Csirkebecsinált leves;Májgaluska leves;Bográcsgulyás;;
A menü:;Székelykáposzta;Pásztor tarhonya sült kolbásszal;Fix – Szántódi ropogós sült burgonyával;Fix – Mokka pecsenye sült burgonyával;Kapros juhtúróval töltött sertéskaraj burgonya tallérral;;
B menü:;Zöldfűszeres bundában sült csirkemell petrezselymes burgonyával;Gödöllői csirkecomb burgonyasalátával;Tejszínes-gombás csirkemell taglietelle tésztával;Pácolt aszalt szilvával töltött csirkemell mandulás bundában, jázminrizzsel;Tejfölös-baconös rakott makaróni;;
C menü:;;Rántott zöldségek párolt rizzsel, tartármártással;Túrógombóc fahéjas tejföllel;Harcsapaprikás galuskával;;;
