Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Grízgaluskaleves;Nyírségi sertésraguleves burgonyagombóccal;Spárgakrémleves levesgyönggyel;Gulyásleves;;
A menü:;Rakott karfiol;Székelykáposzta;Fix – Szántódi ropogós sült burgonyával;Csabai kolbásszal töltött karaj hasábburgonyával;Juhtúrós sztrapacska tepertővel;;
B menü:;Csirkemell roppanós bundában lila coleslaw salátával, hercegnőburgonyával;Tócsni bundában sült csirkemell joghurtos friss kevert salátával, párolt rizzsel;Libamájas-zöldséges rizottó;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;Cézár saláta sült lepénnyel, parmezán sajttal;;
C menü:;;Burgonyafőzelék stefánia vagdalttal;Szilvás derelye fahéjas porcukorral;Gombapaprikás galuskával;;;
