Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tojásleves;Póréhagymakrémleves;Csülkös bableves;Meggyleves;Szárnyasraguleves;;
A menü:;Fokhagymás sertéssült tört burgonyával, pecsenyelével;Tarhonyáshús;Fix – Szántódi ropogós sült burgonyával;Holstein szelet sült burgonyával;Milánói sertésborda;;
B menü:;Rántott csirkemell párolt rizzsel;Rántott csirkemáj zöldséges rizzsel;Mexikói csirkemell kukoricás rizzsel;Ropogósra sült csirkecomb vele sült burgonyával;Tejszínes-bazsalikomos csirkecsíkok párolt jázmin- rizzsel;;
C menü:;;Hekktörzs hasábburgonyával;Grízes tészta sárgabarack lekvárral;Kelkáposzta főzelék sült debreceni virslivel;;;
