Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Sajtkrémleves krutonnal;Karfiolleves;Erdélyi húsgombócleves;Fahéjas almaleves;Palócleves;;
A menü:;Bolognai spagetti;Bakonyi tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Velővel töltött sertésborda hasábburgonyával;Puszta pecsenye rizibizivel;;
B menü:;Parmezán bundában sült csirkemell párolt jázmin- rizzsel, friss salátával;Paradicsomos-mozzarellás csirkemell jázminrizzsel;Csirkés-zöldséges rakott makaróni;Zúzapörkölt galuskával;Kapros juhtúróval töltött csirkemell burgonyapürével;;
C menü:;;Rántott tengeri halfilé franciasalátával;Mákosguba vanília öntettel;Káposztás tészta;;;
