Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves cérnametélttel;Meggyleves;Rozmaringos tejszínes sertésraguleves;Zöldborsókrémleves;Szürkemarha gulyás;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Csikós tokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Sült kolbász hagymás tört burgonyával, párolt káposztával;Sajtos-tejfölös tészta;;
B menü:;Párizsi csirkemell édesburgonya hasábbal, friss salátával;Hawaii csirkemell kukoricás rizzsel;Spenótos penne csirkemell csíkokkal parmezán sajttal;Kakukkfüves csirkemell friss salátával, párolt jázminrizzsel;Sült csirkecomb céklás burgonyasalátával;;
C menü:;;Rántott sajt hasábburgonyával;Túrós derelye fahéjas tejföllel;Rántott tengeri halfilé vajas mexikói zöldséggel;;;
