Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves;Erdei gyümölcsleves;Pandúr leves húsgombóccal;Grízgaluska leves;Kassai burgonyaleves;;
A menü:;Rakott burgonya békési kolbásszal;Hentes tokány orsótésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sertéscsülök pékné módra;;
B menü:;Panko morzsában sült csirkemell zöldséges rizzsel;Rántott csirkecomb petrezselymes burgonyával;Argentin csirkemell görög salátával, héjas burgonyával;Paradicsomos-mozzarellás csirkemell, bazsalikomos bulgurral;Körözöttel töltött csirkemell párolt rizzsel;;
C menü:;;Stefánia vagdalt zöldborsó főzelékkel;Császármorzsa baracklekvárral;Tengeri halfilé párizsi bundában friss kevert salátával, krokettel;;;
