Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Kertészleves eperlevéllel;Francia hagymaleves;Jókai bableves;Zsenge zöldborsóleves;Nyírségi húsgombócleves;;
A menü:;Cigánypecsenye sült burgonyával;Sertésszelet lecsósan tarhonyával;Fix – Szántódi ropogós sült burgonyával;Milánói sertésborda;Lyoni sertésszelet párolt lilakáposztával, hasábburgonyával;;
B menü:;Sajtkrémmel töltött csirkemell rizibizivel;Grillezett csirkemell joghurtos friss salátával, korong- burgonyával;Dubarry csirkemell párolt rizzsel;Mediterrán csirkemell zöldséges bulgurral;Gyros tál;;
C menü:;;Rántott tengeri halfilé kukoricás rizzsel, tartármártással;Túrógombóc fahéjas tejföllel;Grillezett camembert sajt tökmagos salátával, sült pitával;;;
