Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves cérnametélttel;Zöldborsókrémleves;Rozmaringos-tejszínes sertésraguleves;Meggyleves;Alföldi gulyás;;
A menü:;Cigánypecsenye sült burgonyával;Csikós tokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Milánói sertésborda;Hamburger hagymakarikával, hasábburgonyával;;
B menü:;Panko morzsában sült csirkemell zöldséges bulgurral;Hawaii csirkemell kukoricás jázminrizzsel;Sült csirkecomb céklás-joghurtos burgonyasaláta;Kakukkfüves csirkemell édesburgonyapürével;Sült brokkolis kuszkuszsaláta csirkemellcsíkokkal, parmezán sajttal;;
C menü:;;Paprikás lisztben sült tengeri hal burgonyachipsszel, fokhagymás majonézzel;Rizsfelfújt szamócaöntettel;Sonkás trikolor tésztasaláta;;;
