Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves cérnametléttel;Karfiolleves;Temesvári raguleves;Édesburgonya krémleves;Jókai bableves;;
A menü:;Sokmagvas bundában sült sertéskaraj párolt jázminrizzsel;Sertésszelet Budapest módra pirított kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Vasi pecsenye tört burgonyával;Túróstészta tepertővel;;
B menü:;Roston csirkemell meggymártással, burgonyakrokettel;Fűszeres mascarpone krémmel töltött csirkemell, gombás rizzsel;Paradicsomos-mozzarellás csirkemell párolt rizzsel;Pirosra sült grill csirkecomb franciasalátával;Párizsi csirke rizibizivel;;
C menü:;;Tökfőzelék sertésvagdalttal;Szilvás derelye fahéjas porcukorral;Rántott sajt párolt jázminrizzsel, tartármártással;;;
