Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Francia hagymaleves kenyérkockával;Tavaszi zöldségleves;Frankfurti leves;Sárgabarack krémleves mandulával;Betyárleves;;
A menü:;Rakott brokkoli;Chilisbab pizza kenyérrel;Fix – Szántódi ropogós sült burgonyával;Sertésszelet Budapest módra kocka burgonyával;Bacon szalonnás kenyérlángos;;
B menü:;Grillezett jércemell erdei gombamártással, burgonya krokettel;Csirkemell panko morzsa palástban burgonyapürével;Kentucky csirkemell tzatziki salátával, sült burgonyával;Csirkemell cheddar sajttal töltve párolt jázminrizzsel;Sajtos bundában sült csirkemell rizibizivel;;
C menü:;;Grillezett feta sajt friss kevert salátával;Vargabéles aranymazsolával erdei gyümölcs öntettel;Zöldborsófőzelék fasírttal;;;
