Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves cérnametélttel;Zöldborsó krémleves;Alföldi gulyás;Hideg meggyleves;Rozmaringos-tejszínes szárnyas raguleves;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Bakonyi sertéstokány galuskával;Fix – Szántódi ropogós sült burgonyával;Mustáros sertéstarja lyoni hagymával, tört burgonyával;Székelykáposzta;;
B menü:;Keleti chilis bundában sült csirkemell sáfrányos jázminrizzsel, friss salátával;Őszibarackkal-füstölt sajttal rakott csirkemell párolt jáminrizzsel;Sült csirkecomb snidlinges burgonyasalátával;Görög rakott csirkemelles penne;Sajtos bundában sült csirkemell vegyes körettel;;
C menü:;;Rántott sajt sült burgonyával, tartármártással;Rizsfelfújt málna öntettel;Kukoricalisztben sült tengeri halfilé hollandi mártással, párolt rizzsel;;;
