Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves;Vilmoskörte leves;Korhelyleves;Francia hagymaleves;Falusi sertésraguleves;;
A menü:;Rakott brokkoli;Sokmagvas bundában sült sertéskaraj párolt jázminrizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Carbonara spagetti;;
B menü:;Párizsi csirkemell rizibizivel;Sonkás-zöldséges tésztasaláta;Édes-savanyú csirke barna spagettivel;Kijevi töltött csirkemell burgonyapürével;Gyros tál;;
C menü:;;;Máglyarakás;Káposztás tészta;;;
