Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Hamis gulyásleves;Vilmoskörte leves;Korhelyleves;Brokkoli krémleves;Tyúkhúsleves cérnametélttel;;
A menü:;Óvári sertésszelet hasábburgonyával;Sertésszelet Budapest módra pirított burgonyával;Fix – Szántódi ropogós sült burgonyával;Chilisbab sült lepénykenyérrel;Carbonara spagetti;;
B menü:;Camembert sajttal-aszalt gyümölccsel töltött csirkemell párolt jázminrizzsel;Szecsuáni csirkecsíkok sült tésztával;BBQ csirkecomb párolt bulgurral, friss kevert salátával;Rántott csirkemáj petrezselymes burgonyával;Firenzei csirkemell burgonyapürével;;
C menü:;;Tengeri halfilé hollandi mártással párolt zöldségekkel;Túrós derelye fahéjas tejföllel;Füstölt sonkás trikolor tésztasaláta;;;
