Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lebbencsleves;Tavaszváró zöldségleves zabkockával;Szárnyas raguleves;Sajtos medvehagyma krémleves;Marhahúsleves csigtésztával;;
A menü:;Rakott káposzta kolozsvári szalonnával;Hentestokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Csülkös sertéspörkölt tarhonyával;;
B menü:;Mátrai borzas petrezselymes burgonyával;Rántott csirkecomb snidlinges burgonyapürével;Tejszínes-parajos színes penne csirkecsíkokkal;Paradicsomos-csirkés rakott makaróni;Joghurtban pácolt csirkemell fűszeres gerezdburgonyával, friss salátával, kapros öntettel;;
C menü:;;Tengeri hal paprikás lisztben sütve párolt rizzsel, sült hagymás majonézzel;Rizsfelfújt szamóca öntettel;Rántott sajt párolt jázminrizzsel, tartármártással;;;
