Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Marhahúsleves cérnametélttel;Meggyleves;Rozmaringos-tejszínes sertésraguleves;Kapros zöldbableves;Alföldi gulyásleves;;
A menü:;Bolognai spagetti;Sertéspörkölt csülökkel, sós burgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;BBQ oldalas hasábburgonyával, friss salátával;;
B menü:;Keleti csirkemell steak édes chilis mártással, zöldséges bulgurral;Hawaii csirkemell párolt jázminrizzsel;Töltött csirkecomb rizibizivel;Csirkepaprikás galuskával;Baracklekváros fánk vaníliás porcukorral;;
C menü:;;Grillezett feta sajt friss salátával fűszeres burgonyával;Rizsfelfújt erdei gyümölcs öntettel;Tengeri halfilé kukorica bundában, vajban párolt;;;
